Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Jalen Johnson,34:49,7,13,.538,0,2,.000,8,10,.800,0,7,7,8,1,1,3,1,22,20.9,-15,johnsja05
Trae Young,34:18,5,14,.357,1,7,.143,11,13,.846,0,1,1,5,1,0,2,4,22,14.6,-14,youngtr01
Kristaps Porziņģis,25:34,5,12,.417,4,7,.571,6,6,1.000,2,5,7,2,0,2,2,4,20,15.7,-11,porzikr01
Dyson Daniels,22:44,2,4,.500,0,1,.000,0,0,,1,2,3,2,2,0,3,5,4,1.7,-3,daniedy01
Zaccharie Risacher,20:36,7,13,.538,2,6,.333,0,0,,2,0,2,0,0,1,0,1,16,11.4,-14,risacza01
Luke Kennard,30:27,2,7,.286,1,5,.200,1,1,1.000,0,4,4,3,1,0,3,3,6,2.0,-16,kennalu01
Onyeka Okongwu,29:45,8,12,.667,1,2,.500,1,1,1.000,2,4,6,1,0,0,0,2,18,15.3,-19,okongon01
Nickeil Alexander-Walker,28:05,2,15,.133,1,5,.200,5,6,.833,1,3,4,4,1,1,1,2,10,4.2,-2,alexani01
Keaton Wallace,8:41,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,2,0,-0.8,-11,wallake01
Mouhamed Gueye,5:01,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,+5,gueyemo02
Vit Krejci,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,krejcvi01
Asa Newell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,newelas01
N'Faly Dante,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,nfalyda01
Team Totals,240,38,90,.422,10,35,.286,32,37,.865,8,26,34,25,7,6,16,24,118,,,-9999
