Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Payton Pritchard,37:09,6,14,.429,1,7,.143,3,4,.750,2,3,5,2,2,0,2,3,16,10.7,+6,pritcpa01
Jaylen Brown,36:14,9,18,.500,2,4,.500,5,6,.833,0,6,6,4,0,0,2,4,25,16.6,0,brownja02
Derrick White,35:25,7,20,.350,4,13,.308,7,7,1.000,0,3,3,4,1,1,0,1,25,18.8,-3,whitede01
Neemias Queta,25:07,7,8,.875,0,0,,3,4,.750,2,6,8,0,0,0,2,6,17,12.6,+2,quetane01
Sam Hauser,22:24,2,6,.333,2,6,.333,2,2,1.000,0,2,2,1,0,0,3,3,8,1.7,+8,hausesa01
Anfernee Simons,32:17,5,10,.500,2,6,.333,1,1,1.000,1,3,4,1,1,1,0,2,13,11.2,-5,simonan01
Chris Boucher,15:50,2,4,.500,0,2,.000,2,2,1.000,0,4,4,1,1,0,0,0,6,6.9,-4,bouchch01
Xavier Tillman Sr.,15:39,2,8,.250,0,3,.000,0,0,,3,4,7,1,2,1,0,4,4,4.3,0,tillmxa01
Josh Minott,14:11,1,1,1.000,0,0,,0,0,,2,0,2,2,0,0,0,4,2,2.9,-6,minotjo01
Luka Garza,5:44,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,1,2,1,0,-2.8,-3,garzalu01
Hugo González,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gonzahu01
Baylor Scheierman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,scheiba01
Max Shulga,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,shulgma01
Jordan Walsh,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,walshjo01
Team Totals,240,41,91,.451,11,43,.256,23,26,.885,10,32,42,16,7,4,11,28,116,,,-9999
