Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Michael Porter Jr.,25:18,5,15,.333,2,7,.286,0,2,.000,1,3,4,5,0,0,0,2,12,7.0,-19,portemi01
Cam Thomas,24:04,2,9,.222,0,2,.000,11,13,.846,0,1,1,2,0,1,2,2,15,8.3,-19,thomaca02
Nic Claxton,22:59,8,12,.667,0,1,.000,1,2,.500,2,2,4,2,0,0,1,0,17,13.8,-11,claxtni01
Ben Saraf,20:01,2,7,.286,0,3,.000,4,6,.667,1,6,7,4,0,0,0,2,8,7.6,-6,sarafbe01
Terance Mann,19:27,4,6,.667,2,3,.667,3,3,1.000,1,0,1,1,1,0,1,4,13,10.2,+4,mannte01
Tyrese Martin,25:55,2,8,.250,1,5,.200,0,0,,3,0,3,5,2,0,3,1,5,4.4,0,martity01
Egor Demin,22:19,4,6,.667,4,6,.667,2,2,1.000,0,5,5,2,1,0,2,3,14,12.1,-6,demineg01
Noah Clowney,20:15,1,6,.167,1,3,.333,2,2,1.000,2,2,4,2,0,0,1,2,5,2.8,-7,clownno01
Ziaire Williams,14:51,0,3,.000,0,2,.000,1,2,.500,1,2,3,1,1,0,0,1,1,1.1,-18,willizi02
Jalen Wilson,14:42,3,5,.600,2,4,.500,0,0,,0,0,0,0,0,0,1,1,8,4.3,+10,wilsoja03
Day'Ron Sharpe,14:04,6,7,.857,1,2,.500,1,2,.500,1,3,4,0,1,2,5,5,14,8.1,-13,sharpda01
Nolan Traoré,8:53,1,3,.333,1,2,.500,0,0,,0,0,0,1,2,0,0,1,3,3.6,-8,traorno01
Drake Powell,7:12,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,4,2,-0.3,-2,poweldr01
Danny Wolf,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,wolfda01
Team Totals,240,39,88,.443,14,40,.350,25,34,.735,12,26,38,25,8,3,17,28,117,,,-9999
