Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Michael Porter Jr.,25:18,.378,.400,.467,.133,4.0,14.2,8.6,32.1,0.0,0.0,0.0,25.1,98,134,-6.2,portemi01
Cam Thomas,24:04,.510,.222,.222,1.444,0.0,5.0,2.3,11.4,0.0,3.7,12.0,27.8,105,134,-8.6,thomaca02
Nic Claxton,22:59,.660,.667,.083,.167,8.7,10.4,9.5,18.7,0.0,0.0,7.2,24.2,128,135,1.2,claxtni01
Ben Saraf,20:01,.415,.286,.429,.857,5.0,36.0,19.1,28.0,0.0,0.0,0.0,19.3,115,127,-5.6,sarafbe01
Terance Mann,19:27,.888,.833,.500,.500,5.1,0.0,2.8,8.5,2.4,0.0,12.0,17.1,156,132,3.1,mannte01
Tyrese Martin,25:55,.313,.313,.625,.000,11.6,0.0,6.3,26.2,3.5,0.0,27.3,17.0,83,130,-6.4,martity01
Egor Demin,22:19,1.017,1.000,1.000,.333,0.0,26.9,12.2,14.2,2.0,0.0,22.5,15.9,144,125,6.1,demineg01
Noah Clowney,20:15,.363,.250,.500,.333,9.9,11.9,10.8,12.9,0.0,0.0,12.7,15.6,95,134,-9.9,clownno01
Ziaire Williams,14:51,.129,.000,.667,.667,6.7,16.2,11.0,8.3,3.1,0.0,0.0,10.5,63,126,-10.9,willizi02
Jalen Wilson,14:42,.800,.800,.800,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,16.3,115,138,-3.9,wilsoja03
Day'Ron Sharpe,14:04,.888,.929,.286,.286,7.1,25.6,15.5,0.0,3.3,12.6,38.8,36.6,85,115,-2.5,sharpda01
Nolan Traoré,8:53,.500,.500,.667,.000,0.0,0.0,0.0,16.1,10.3,0.0,0.0,13.5,118,114,6.6,traorno01
Drake Powell,7:12,1.000,1.000,.000,.000,0.0,33.3,15.2,0.0,0.0,0.0,50.0,11.1,73,126,-18.6,poweldr01
Danny Wolf,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,wolfda01
Team Totals,240,.568,.523,.455,.386,25.0,65.0,43.2,64.1,7.6,5.6,14.2,100.0,111.4,129.5,,-9999
