Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LaMelo Ball,33:34,7,15,.467,4,8,.500,2,5,.400,1,1,2,8,0,0,3,3,20,13.5,+10,ballla01
Miles Bridges,30:51,6,11,.545,3,6,.500,3,4,.750,2,9,11,4,1,0,1,1,18,18.8,+7,bridgmi02
Brandon Miller,30:30,8,19,.421,2,9,.222,7,10,.700,0,0,0,7,1,1,1,4,25,17.7,+14,millebr02
Ryan Kalkbrenner,26:46,5,6,.833,0,0,,0,0,,5,6,11,1,0,2,4,4,10,9.6,+11,kalkbry01
Kon Knueppel,25:29,4,6,.667,3,4,.750,0,0,,0,5,5,1,0,0,2,3,11,7.4,+10,knuepko01
Moussa Diabaté,21:14,5,7,.714,0,0,,3,4,.750,4,5,9,0,1,1,2,3,13,12.5,+8,diabamo01
Tre Mann,20:39,4,7,.571,2,3,.667,2,3,.667,1,2,3,6,1,0,2,1,12,12.4,+15,manntr01
Collin Sexton,17:11,4,9,.444,1,2,.500,6,7,.857,0,1,1,3,1,0,1,2,15,11.5,+5,sextoco01
Tidjane Salaün,17:09,4,7,.571,2,3,.667,0,0,,0,4,4,1,0,0,0,2,10,7.8,+12,salauti01
Sion James,16:37,1,3,.333,0,1,.000,0,0,,1,3,4,2,0,1,0,2,2,3.2,+3,jamessi01
Pat Connaughton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,connapa01
Liam McNeeley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mcneeli01
Mason Plumlee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,plumlma01
Team Totals,240,48,90,.533,17,36,.472,23,33,.697,14,36,50,33,5,5,17,25,136,,,-9999
