Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
LaMelo Ball,33:34,.581,.600,.533,.333,3.6,3.0,3.2,30.1,0.0,0.0,14.9,23.8,121,118,-2.5,ballla01
Miles Bridges,30:51,.705,.682,.545,.364,7.8,29.2,19.4,16.1,1.5,0.0,7.3,17.6,150,107,6.7,bridgmi02
Brandon Miller,30:30,.534,.474,.474,.526,0.0,0.0,0.0,31.1,1.5,3.3,4.1,31.6,129,114,-0.5,millebr02
Ryan Kalkbrenner,26:46,.833,.833,.000,.000,22.4,22.4,22.4,4.6,0.0,7.5,40.0,14.8,110,108,-4.4,kalkbry01
Kon Knueppel,25:29,.917,.917,.667,.000,0.0,19.6,10.7,4.7,0.0,0.0,25.0,12.4,122,113,-1.6,knuepko01
Moussa Diabaté,21:14,.742,.714,.000,.571,22.6,23.5,23.1,0.0,2.2,4.7,18.6,20.0,131,104,-0.8,diabamo01
Tre Mann,20:39,.721,.714,.429,.429,5.8,9.7,7.9,36.0,2.2,0.0,19.4,19.7,140,111,7.6,manntr01
Collin Sexton,17:11,.621,.500,.222,.778,0.0,5.8,3.2,22.8,2.7,0.0,7.6,30.1,136,111,1.3,sextoco01
Tidjane Salaün,17:09,.714,.714,.429,.000,0.0,23.3,12.7,7.6,0.0,0.0,0.0,16.1,151,112,1.9,salauti01
Sion James,16:37,.333,.333,.333,.000,7.2,18.1,13.1,12.8,0.0,6.0,0.0,7.1,126,110,-4.0,jamessi01
Pat Connaughton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,connapa01
Liam McNeeley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mcneeli01
Mason Plumlee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,plumlma01
Team Totals,240,.651,.628,.400,.367,35.0,75.0,56.8,68.8,4.8,10.4,14.0,100.0,129.5,111.4,,-9999
