Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Matas Buzelis,33:46,7,12,.583,0,3,.000,7,7,1.000,2,4,6,1,0,3,3,3,21,16.6,-10,buzelma01
Nikola Vučević,32:35,11,18,.611,4,6,.667,2,2,1.000,4,10,14,2,1,0,1,2,28,26.2,+8,vucevni01
Tre Jones,31:38,5,8,.625,1,1,1.000,1,2,.500,0,1,1,8,3,0,2,3,12,13.7,+6,jonestr01
Josh Giddey,28:48,5,12,.417,1,2,.500,8,11,.727,1,4,5,11,0,1,6,5,19,13.7,+6,giddejo01
Isaac Okoro,22:31,0,2,.000,0,0,,0,0,,1,4,5,4,0,0,2,5,0,-0.7,+17,okorois01
Kevin Huerter,27:14,4,11,.364,2,6,.333,5,6,.833,1,4,5,0,1,2,1,2,15,11.0,+9,huertke01
Ayo Dosunmu,26:30,6,14,.429,2,5,.400,0,0,,2,3,5,2,0,0,0,1,14,9.9,-5,dosunay01
Patrick Williams,17:00,1,2,.500,1,2,.500,1,2,.500,0,4,4,0,1,2,2,1,4,3.8,+1,willipa01
Jalen Smith,13:38,0,7,.000,0,5,.000,2,2,1.000,1,4,5,1,0,0,0,1,2,-0.7,-2,smithja04
Dalen Terry,6:20,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-10,terryda01
Jevon Carter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,carteje01
Noa Essengue,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,essenno01
Julian Phillips,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,phillju01
Team Totals,240,39,87,.448,11,30,.367,26,32,.813,12,38,50,29,6,8,18,23,115,,,-9999
