Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Matas Buzelis,33:46,.696,.583,.250,.583,6.3,11.1,8.9,4.9,0.0,5.8,16.6,21.6,122,109,0.4,buzelma01
Nikola Vučević,32:35,.742,.722,.333,.111,13.1,28.9,21.5,12.9,1.4,0.0,5.0,24.6,144,105,11.5,vucevni01
Tre Jones,31:38,.676,.688,.125,.250,0.0,3.0,1.6,38.6,4.4,0.0,18.4,13.9,127,106,2.9,jonestr01
Josh Giddey,28:48,.564,.458,.167,.917,3.7,13.1,8.7,59.8,0.0,2.3,26.3,32.0,105,110,0.5,giddejo01
Isaac Okoro,22:31,.000,.000,.000,.000,4.7,16.7,11.1,21.9,0.0,0.0,50.0,7.2,61,111,-10.0,okorois01
Kevin Huerter,27:14,.550,.455,.545,.545,3.9,13.8,9.2,0.0,1.7,4.8,6.8,21.7,111,105,-0.2,huertke01
Ayo Dosunmu,26:30,.500,.500,.357,.000,8.1,10.7,9.4,12.9,0.0,0.0,0.0,21.3,113,113,-2.4,dosunay01
Patrick Williams,17:00,.694,.750,1.000,1.000,0.0,22.1,11.8,0.0,2.7,7.7,41.0,11.6,70,98,-1.3,willipa01
Jalen Smith,13:38,.127,.000,.714,.286,7.8,27.6,18.3,9.0,0.0,0.0,0.0,23.3,49,108,-19.7,smithja04
Dalen Terry,6:20,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0,117,-14.4,terryda01
Jevon Carter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,carteje01
Noa Essengue,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,essenno01
Julian Phillips,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,phillju01
Team Totals,240,.569,.511,.345,.368,26.7,74.5,52.1,74.4,5.8,11.0,15.1,100.0,111.2,107.4,,-9999
