Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Evan Mobley,35:56,.545,.556,.444,.278,0.0,28.9,13.4,13.7,3.9,2.9,12.9,28.5,96,108,2.1,mobleev01
Donovan Mitchell,35:53,.570,.520,.360,.200,0.0,7.2,3.3,27.9,2.6,2.9,9.9,37.1,108,116,3.5,mitchdo01
Sam Merrill,28:22,.800,.773,.909,.182,3.9,9.1,6.3,5.7,0.0,0.0,7.8,20.0,142,123,2.2,merrisa01
Jarrett Allen,28:13,.347,.250,.000,1.000,0.0,18.4,8.5,4.4,3.3,0.0,14.8,10.6,69,113,-5.8,allenja01
Jaylon Tyson,20:13,.625,.625,.750,.000,5.5,6.4,5.9,6.7,0.0,5.2,33.3,13.1,92,121,-6.5,tysonja01
Dean Wade,28:07,1.289,1.500,1.000,.667,0.0,9.2,4.3,0.0,1.7,3.7,0.0,6.1,242,117,5.3,wadede01
Lonzo Ball,23:29,.214,.214,1.000,.000,4.8,16.6,10.2,32.3,0.0,0.0,36.4,20.6,64,122,-13.1,balllo01
Larry Nance Jr.,16:59,.714,.714,.286,.000,6.6,38.2,21.2,9.8,0.0,0.0,12.5,20.8,124,116,1.7,nancela02
Tyrese Proctor,16:06,.500,.500,.600,.000,0.0,8.1,3.7,17.5,0.0,0.0,0.0,13.7,114,124,-4.3,proctty01
Craig Porter Jr.,6:43,.500,.500,.500,.000,0.0,0.0,0.0,21.8,0.0,0.0,0.0,13.1,118,126,-6.5,portecr01
Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,bryanth01
Nae'Qwan Tomlin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,tomlina01
Luke Travers,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,travelu01
Team Totals,240,.591,.576,.535,.209,9.3,75.7,40.0,52.5,7.8,8.7,13.8,100.0,108.2,115.9,,-9999
