Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,32:29,7,22,.318,2,4,.500,6,6,1.000,4,9,13,1,2,1,0,4,22,16.7,-24,davisan02
Cooper Flagg,31:32,4,13,.308,0,1,.000,2,2,1.000,1,9,10,0,1,0,3,3,10,2.7,-29,flaggco01
P.J. Washington,29:25,7,11,.636,2,3,.667,1,1,1.000,1,4,5,1,0,1,2,4,17,11.8,-20,washipj01
Klay Thompson,22:20,4,13,.308,1,5,.200,1,1,1.000,1,1,2,1,0,0,1,1,10,2.8,-23,thompkl01
Dereck Lively II,10:19,1,2,.500,0,0,,2,2,1.000,1,1,2,3,0,0,1,5,4,3.1,-5,livelde01
Max Christie,25:57,3,4,.750,3,4,.750,0,0,,0,0,0,1,0,1,2,0,9,6.8,-13,chrisma02
Naji Marshall,22:34,0,2,.000,0,0,,3,4,.750,0,1,1,1,0,0,0,2,3,1.4,-17,marshna01
Ryan Nembhard,15:31,3,5,.600,0,1,.000,2,2,1.000,0,0,0,5,0,0,3,0,8,6.2,-4,nembhry01
D'Angelo Russell,15:04,1,6,.167,0,1,.000,4,6,.667,0,2,2,3,0,0,1,2,6,2.3,-4,russeda01
Brandon Williams,11:34,0,1,.000,0,0,,0,2,.000,0,0,0,2,1,0,1,0,0,-0.1,-8,willibr03
Dwight Powell,7:52,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,2,0,-0.1,-5,poweldw01
Jaden Hardy,7:15,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,1.2,-5,hardyja02
Moussa Cisse,4:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,cissemo01
Caleb Martin,4:04,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-0.3,-4,martica02
Team Totals,240,31,83,.373,9,21,.429,21,26,.808,9,28,37,20,5,3,16,24,92,,,-9999
