Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Anthony Davis,32:29,.446,.364,.182,.273,12.3,34.1,22.1,7.2,2.9,2.2,0.0,33.0,101,115,2.2,davisan02
Cooper Flagg,31:32,.360,.308,.077,.154,3.2,35.1,17.5,0.0,1.5,0.0,17.8,23.3,63,120,-13.1,flaggco01
P.J. Washington,29:25,.743,.727,.273,.091,3.4,16.7,9.4,8.3,0.0,2.4,14.9,19.9,118,124,0.9,washipj01
Klay Thompson,22:20,.372,.346,.385,.077,4.5,5.5,4.9,9.6,0.0,0.0,6.9,28.1,76,129,-10.5,thompkl01
Dereck Lively II,10:19,.694,.500,.000,1.000,9.7,11.9,10.7,53.0,0.0,0.0,25.8,16.3,131,124,-1.1,livelde01
Max Christie,25:57,1.125,1.125,1.000,.000,0.0,0.0,0.0,7.3,0.0,2.8,33.3,10.0,118,128,-0.2,chrisma02
Naji Marshall,22:34,.399,.000,.000,2.000,0.0,5.5,2.4,6.9,0.0,0.0,0.0,7.2,99,128,-10.2,marshna01
Ryan Nembhard,15:31,.680,.600,.200,.400,0.0,0.0,0.0,71.2,0.0,0.0,33.8,24.9,104,130,-2.2,nembhry01
D'Angelo Russell,15:04,.347,.167,.167,1.000,0.0,16.3,7.3,34.4,0.0,0.0,10.4,27.8,80,126,-12.2,russeda01
Brandon Williams,11:34,.000,.000,.000,2.000,0.0,0.0,0.0,26.8,4.1,0.0,34.7,10.8,31,121,-9.2,willibr03
Dwight Powell,7:52,,,,,0.0,0.0,0.0,19.7,6.1,0.0,100.0,5.5,38,115,-8.9,poweldw01
Jaden Hardy,7:15,.500,.500,.667,.000,0.0,17.0,7.6,0.0,0.0,0.0,0.0,18.0,96,126,-6.0,hardyja02
Moussa Cisse,4:04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,-9.8,cissemo01
Caleb Martin,4:04,.000,.000,.000,.000,24.6,0.0,13.6,38.1,0.0,0.0,50.0,21.4,47,130,-15.3,martica02
Team Totals,240,.487,.428,.253,.313,18.8,71.8,42.5,64.5,5.0,4.5,14.5,100.0,91.5,124.4,,-9999
