Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Nikola Jokić,40:50,8,23,.348,2,13,.154,3,4,.750,1,12,13,10,1,1,2,3,21,17.5,-10,jokicni01
Jamal Murray,40:01,11,20,.550,1,4,.250,2,2,1.000,1,2,3,10,3,0,3,2,25,22.9,-13,murraja01
Aaron Gordon,38:39,17,21,.810,10,11,.909,6,6,1.000,0,8,8,2,0,1,2,1,50,44.2,-1,gordoaa01
Christian Braun,38:27,3,7,.429,0,1,.000,0,0,,2,2,4,2,0,0,2,5,6,1.7,-9,braunch01
Cameron Johnson,32:01,2,8,.250,1,6,.167,0,0,,0,3,3,2,1,0,1,3,5,1.3,-17,johnsca02
Tim Hardaway Jr.,21:45,4,8,.500,2,5,.400,0,0,,1,1,2,0,1,0,0,1,10,7.6,+5,hardati02
Bruce Brown,19:22,2,3,.667,0,0,,0,0,,1,4,5,3,1,0,0,4,4,6.1,+6,brownbr01
Peyton Watson,15:58,0,0,,0,0,,2,2,1.000,1,1,2,1,0,1,2,2,2,1.6,0,watsope01
Jonas Valančiūnas,12:10,4,5,.800,0,0,,0,0,,0,3,3,2,0,1,0,1,8,8.7,+4,valanjo01
Spencer Jones,5:47,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,+5,jonessp01
DaRon Holmes,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,holmeda01
Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,nnajize01
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,pickeja02
Julian Strawther,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,strawju01
Hunter Tyson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,tysonhu01
Team Totals,265,51,95,.537,16,40,.400,13,14,.929,7,36,43,32,8,4,13,22,131,,,-9999
