Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Tobias Harris,34:24,.402,.375,.250,.083,5.5,21.7,13.1,14.9,1.3,0.0,0.0,14.7,105,112,-3.6,harrito02
Cade Cunningham,34:16,.405,.354,.250,.417,5.5,15.6,10.2,44.1,1.4,0.0,9.6,37.1,94,113,-4.4,cunnica01
Ausar Thompson,33:02,.590,.625,.000,.375,0.0,29.1,13.6,28.5,1.4,2.5,9.7,12.7,123,108,2.1,thompau01
Duncan Robinson,32:22,.143,.143,.714,.000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,10.0,28,121,-18.5,robindu01
Jalen Duren,19:45,.582,.583,.000,.167,19.1,10.8,15.2,9.4,2.4,8.5,7.2,28.5,117,107,2.7,durenja01
Ron Holland,26:58,.752,.650,.400,.600,0.0,15.8,7.4,16.5,3.4,3.1,13.7,22.0,134,107,6.1,hollaro01
Isaiah Stewart,24:54,.672,.643,.143,.143,18.9,21.4,20.1,14.0,0.0,13.5,0.0,24.2,146,107,12.9,stewais01
Caris LeVert,21:27,.508,.500,.429,.286,0.0,5.0,2.3,12.3,2.2,0.0,11.3,16.8,98,115,-5.1,leverca01
Javonte Green,9:31,.000,.000,.000,.000,0.0,0.0,0.0,0.0,4.9,8.8,0.0,8.5,0,105,-6.0,greenja02
Paul Reed,3:21,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,25.1,50.0,24.2,58,105,5.8,reedpa01
Daniss Jenkins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,jenkida01
Colby Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,jonesco02
Bobi Klintman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,klintbo01
Chaz Lanier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,laniech01
Tolu Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,smithto05
Team Totals,240,.512,.479,.247,.268,25.5,73.3,47.9,67.4,7.7,17.5,8.4,100.0,107.4,111.2,,-9999
