Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Jimmy Butler,38:34,6,16,.375,2,4,.500,7,8,.875,3,2,5,6,3,0,0,1,21,21.3,+8,butleji01
Stephen Curry,36:58,14,25,.560,6,12,.500,8,8,1.000,0,6,6,7,3,1,2,1,42,38.1,+15,curryst01
Jonathan Kuminga,36:15,6,11,.545,1,4,.250,1,3,.333,1,4,5,3,0,0,1,3,14,9.7,+8,kuminjo01
Brandin Podziemski,34:24,4,9,.444,2,6,.333,1,2,.500,1,2,3,1,1,0,1,3,11,6.7,-1,podzibr01
Draymond Green,34:18,5,8,.625,2,5,.400,1,2,.500,0,8,8,8,0,1,1,2,13,15.9,+11,greendr01
Al Horford,29:00,5,7,.714,3,4,.750,0,0,,1,2,3,2,1,1,2,2,13,11.7,+6,horfoal01
Buddy Hield,22:57,5,13,.385,1,7,.143,0,0,,0,2,2,2,1,0,1,1,11,5.5,-5,hieldbu01
Will Richard,16:42,2,5,.400,1,4,.250,1,2,.500,1,4,5,3,1,0,0,1,6,7.5,-3,richawi02
Gary Payton II,11:30,3,5,.600,0,1,.000,0,0,,3,3,6,1,1,0,0,2,6,7.6,-6,paytoga02
Quinten Post,4:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,postqu01
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,jackstr02
Gui Santos,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,santogu01
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,spencpa01
Team Totals,265,50,99,.505,18,47,.383,19,25,.760,10,33,43,33,11,3,9,16,137,,,-9999
