PlayerName,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,BasketballReferenceLinkExt
Trae Young,33:59,7,22,.318,1,10,.100,6,7,.857,0,3,3,17,0,0,1,2,21,19.0,-5,youngtr01
Dyson Daniels,33:45,1,8,.125,0,0,,0,0,,2,5,7,2,3,0,1,4,2,1.5,-15,daniedy01
Jalen Johnson,31:44,11,18,.611,0,3,.000,3,3,1.000,2,4,6,3,3,0,1,2,25,22.7,-14,johnsja05
Kristaps Porziņģis,25:31,11,17,.647,3,6,.500,2,2,1.000,0,2,2,2,0,0,1,1,27,20.1,-8,porzikr01
Zaccharie Risacher,20:19,1,5,.200,0,2,.000,0,0,,0,0,0,0,0,0,1,1,2,-2.5,+13,risacza01
Nickeil Alexander-Walker,30:09,6,11,.545,4,6,.667,1,2,.500,2,1,3,3,1,0,0,3,17,14.9,-13,alexani01
Onyeka Okongwu,29:12,8,11,.727,2,3,.667,0,4,.000,1,9,10,2,1,1,0,2,18,17.6,+4,okongon01
Luke Kennard,20:43,2,2,1.000,1,1,1.000,2,2,1.000,1,2,3,2,0,0,1,1,7,7.7,+4,kennalu01
Mouhamed Gueye,9:33,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,2.7,+8,gueyemo02
Keaton Wallace,5:05,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.2,+1,wallake01
Vit Krejci,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,krejcvi01
Asa Newell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,newelas01
N'Faly Dante,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,nfalyda01
Team Totals,240,49,98,.500,11,32,.344,14,20,.700,8,28,36,32,8,1,6,17,123,,,-9999
