Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Alperen Şengün,48:53,12,24,.500,5,8,.625,10,11,.909,4,7,11,7,2,1,4,5,39,33.1,+9,sengual01
Kevin Durant,47:03,9,16,.563,0,4,.000,5,6,.833,0,9,9,3,0,0,4,6,23,13.4,0,duranke01
Jabari Smith Jr.,41:45,7,15,.467,2,6,.333,0,0,,3,2,5,0,1,0,0,4,16,10.4,+2,smithja05
Amen Thompson,38:36,8,17,.471,0,7,.000,2,2,1.000,2,2,4,5,1,1,4,3,18,11.3,-11,thompam01
Steven Adams,36:30,1,4,.250,0,0,,2,2,1.000,5,8,13,3,0,0,3,4,4,5.0,+2,adamsst01
Reed Sheppard,27:47,3,11,.273,2,7,.286,1,2,.500,1,1,2,4,1,1,2,1,9,5.2,0,sheppre01
Tari Eason,21:36,1,6,.167,1,4,.250,0,0,,0,6,6,0,0,1,4,1,3,-2.7,-4,easonta01
Josh Okogie,19:58,1,3,.333,1,3,.333,5,6,.833,1,1,2,1,0,1,0,2,8,7.5,-8,okogijo01
Clint Capela,7:52,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,1,0,1,0,4,3.7,+5,capelca01
JD Davison,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,davisjd01
Dorian Finney-Smith,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,finnedo01
Jeff Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,greenje02
Kevon Harris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,harrike01
Aaron Holiday,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,holidaa01
Jae'Sean Tate,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,tateja01
Team Totals,290,43,97,.443,11,39,.282,27,31,.871,16,36,52,23,6,5,25,26,124,,,-9999
