Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Alperen Şengün,48:53,.676,.604,.333,.458,11.0,17.7,14.5,28.9,2.1,2.3,12.2,28.7,139,109,13.1,sengual01
Kevin Durant,47:03,.617,.563,.250,.375,0.0,23.6,12.3,11.6,0.0,0.0,17.7,20.6,112,114,-4.2,duranke01
Jabari Smith Jr.,41:45,.533,.533,.400,.000,9.7,5.9,7.7,0.0,1.2,0.0,0.0,15.4,128,116,-1.9,smithja05
Amen Thompson,38:36,.503,.471,.412,.118,7.0,6.4,6.7,24.3,1.3,2.9,18.3,24.2,102,114,-2.5,thompam01
Steven Adams,36:30,.410,.250,.000,.500,18.5,27.0,23.0,11.5,0.0,0.0,38.1,9.2,94,113,-5.7,adamsst01
Reed Sheppard,27:47,.379,.364,.636,.182,4.9,4.4,4.6,22.7,1.9,4.0,14.4,21.4,92,112,-3.1,sheppre01
Tari Eason,21:36,.250,.250,.667,.000,0.0,34.3,17.9,0.0,0.0,5.2,40.0,19.8,33,108,-17.0,easonta01
Josh Okogie,19:58,.709,.500,1.000,2.000,6.8,6.2,6.5,7.2,0.0,5.6,0.0,12.1,172,115,4.2,okogijo01
Clint Capela,7:52,1.064,1.000,.000,2.000,0.0,0.0,0.0,0.0,6.6,0.0,34.7,15.7,132,105,5.8,capelca01
JD Davison,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,davisjd01
Dorian Finney-Smith,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,finnedo01
Jeff Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,greenje02
Kevon Harris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,harrike01
Aaron Holiday,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,holidaa01
Jae'Sean Tate,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,tateja01
Team Totals,290,.560,.500,.402,.320,37.2,76.6,57.8,53.5,5.3,9.6,18.4,100.0,110.5,111.4,,-9999
