Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Bennedict Mathurin,45:07,9,19,.474,3,8,.375,15,17,.882,3,8,11,1,0,0,4,6,36,24.3,+9,mathube01
Pascal Siakam,44:06,12,25,.480,3,6,.500,5,12,.417,3,12,15,4,1,0,1,1,32,24.6,-8,siakapa01
Aaron Nesmith,26:46,2,7,.286,1,3,.333,0,0,,0,7,7,0,0,0,1,6,5,-0.4,-4,nesmiaa01
Andrew Nembhard,16:52,0,5,.000,0,2,.000,4,4,1.000,0,1,1,4,0,0,2,2,4,0.8,-3,nembhan01
Isaiah Jackson,8:29,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,2,4,0,-4.3,+2,jacksis01
Obi Toppin,39:58,8,18,.444,0,8,.000,4,4,1.000,0,5,5,3,2,0,1,3,20,14.0,-2,toppiob01
Ben Sheppard,39:03,5,11,.455,3,7,.429,2,2,1.000,2,6,8,4,1,1,0,6,15,14.6,-5,sheppbe01
Jarace Walker,30:19,6,11,.545,1,5,.200,0,0,,1,3,4,4,1,0,2,4,13,9.5,-7,walkeja02
Taelon Peter,16:37,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,1,1,3,2.3,-7,peterta01
Jay Huff,11:49,2,4,.500,1,2,.500,0,0,,1,2,3,0,0,2,0,1,5,5.3,+6,huffja01
Tony Bradley,9:55,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,1,0,3,2,0.8,-9,bradlto01
Johnny Furphy,0:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,furphjo01
RayJ Dennis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,dennira01
James Wiseman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wisemja01
Team Totals,290,46,105,.438,13,43,.302,30,40,.750,11,44,55,21,6,4,14,37,135,,,-9999
