Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
James Harden,29:11,5,12,.417,2,9,.222,3,4,.750,0,2,2,11,0,0,2,1,15,14.1,-21,hardeja01
Kawhi Leonard,29:06,3,9,.333,1,5,.200,3,3,1.000,1,3,4,2,1,1,2,2,10,6.8,-25,leonaka01
Ivica Zubac,27:11,9,13,.692,0,0,,1,1,1.000,3,4,7,3,0,1,2,0,19,17.6,-21,zubaciv01
Bradley Beal,20:13,2,5,.400,1,4,.250,0,0,,0,1,1,0,1,0,1,4,5,1.0,-9,bealbr01
Derrick Jones Jr.,17:40,5,7,.714,1,3,.333,1,2,.500,1,0,1,1,0,1,1,4,12,8.2,-12,jonesde02
John Collins,27:51,6,12,.500,1,2,.500,1,2,.500,3,4,7,1,1,2,2,1,14,11.6,0,collijo01
Kris Dunn,22:09,0,3,.000,0,1,.000,0,0,,2,3,5,1,1,0,2,0,0,-0.1,-20,dunnkr01
Brook Lopez,16:58,5,12,.417,5,11,.455,0,0,,1,2,3,0,1,0,2,3,15,7.7,-6,lopezbr01
Nicolas Batum,14:59,1,4,.250,1,4,.250,0,0,,0,2,2,1,1,1,0,4,3,2.0,-14,batumni01
Chris Paul,14:58,1,5,.200,1,4,.250,1,1,1.000,1,0,1,4,1,0,1,2,4,3.6,-6,paulch01
Cam Christie,8:11,1,4,.250,1,2,.500,2,2,1.000,1,1,2,1,0,0,0,0,5,4.3,+11,chrisca02
Yanic Konan Niederhauser,3:51,1,1,1.000,0,0,,2,4,.500,1,0,1,0,0,0,0,0,4,3.6,+6,konanya01
Kobe Brown,3:51,0,0,,0,0,,2,2,1.000,1,0,1,2,0,0,0,0,2,4.1,+6,brownko01
Kobe Sanders,3:51,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,0,0,1.3,+6,sandeko01
Bogdan Bogdanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,bogdabo01
Team Totals,240,39,88,.443,14,45,.311,16,21,.762,15,23,38,28,8,6,15,21,108,,,-9999
