Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
James Harden,29:11,.545,.500,.750,.333,0.0,9.1,3.9,58.8,0.0,0.0,12.7,23.1,126,144,-0.5,hardeja01
Kawhi Leonard,29:06,.484,.389,.556,.333,3.4,13.7,7.9,9.7,1.8,3.8,16.2,18.1,98,137,-8.3,leonaka01
Ivica Zubac,27:11,.707,.692,.000,.077,11.0,19.6,14.7,22.9,0.0,4.1,13.0,24.3,130,139,3.7,zubaciv01
Bradley Beal,20:13,.500,.500,.800,.000,0.0,6.6,2.8,0.0,2.5,0.0,16.7,12.7,82,139,-13.7,bealbr01
Derrick Jones Jr.,17:40,.761,.786,.429,.286,5.7,0.0,3.2,10.7,0.0,6.3,11.3,21.5,131,143,-0.9,jonesde02
John Collins,27:51,.543,.542,.167,.167,10.8,19.2,14.4,6.0,1.8,8.0,13.4,22.8,104,133,-3.4,collijo01
Kris Dunn,22:09,.000,.000,.333,.000,9.0,18.1,12.9,5.6,2.3,0.0,40.0,9.7,37,136,-15.2,dunnkr01
Brook Lopez,16:58,.625,.625,.917,.000,5.9,15.7,10.1,0.0,3.0,0.0,14.3,35.3,102,135,-1.5,lopezbr01
Nicolas Batum,14:59,.375,.375,1.000,.000,0.0,17.8,7.6,8.9,3.4,7.5,0.0,11.4,97,130,-7.1,batumni01
Chris Paul,14:58,.368,.300,.800,.200,6.7,0.0,3.8,35.8,3.4,0.0,15.5,18.4,104,139,-6.7,paulch01
Cam Christie,8:11,.512,.375,.500,.500,12.2,16.3,14.0,17.7,0.0,0.0,0.0,25.5,134,142,0.2,chrisca02
Kobe Brown,3:51,1.136,,,,26.0,0.0,14.8,63.9,0.0,0.0,0.0,9.8,242,147,28.5,brownko01
Yanic Konan Niederhauser,3:51,.725,1.000,.000,4.000,26.0,0.0,14.8,0.0,0.0,0.0,0.0,30.7,151,147,6.5,konanya01
Kobe Sanders,3:51,.000,.000,.000,.000,0.0,34.6,14.8,32.0,13.3,0.0,0.0,11.1,63,106,4.4,sandeko01
Bogdan Bogdanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,bogdabo01
Team Totals,240,.555,.523,.511,.239,31.3,63.9,45.2,71.8,8.5,14.0,13.4,100.0,114.9,137.3,,-9999
