Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Luka Dončić,40:59,17,27,.630,2,10,.200,7,10,.700,0,12,12,9,2,1,3,1,43,38.9,-8,doncilu01
Austin Reaves,36:20,9,16,.563,1,5,.200,7,10,.700,1,4,5,9,2,0,5,5,26,20.4,-14,reaveau01
Rui Hachimura,35:25,3,6,.500,3,6,.500,0,0,,0,4,4,3,0,0,1,2,9,7.5,-6,hachiru01
Deandre Ayton,33:53,5,7,.714,0,0,,0,2,.000,2,4,6,0,0,1,4,3,10,4.4,-4,aytonde01
Gabe Vincent,28:44,1,4,.250,1,4,.250,0,0,,0,0,0,1,1,0,0,3,3,1.1,-5,vincega01
Marcus Smart,22:46,3,6,.500,0,3,.000,3,4,.750,0,0,0,0,1,0,3,4,9,2.0,+2,smartma01
Jake LaRavia,15:50,2,4,.500,1,2,.500,0,2,.000,2,1,3,0,0,0,0,1,5,3.5,-5,laravja01
Jaxson Hayes,14:07,2,3,.667,0,0,,0,0,,2,4,6,1,0,0,1,2,4,4.2,-6,hayesja02
Jarred Vanderbilt,11:56,0,4,.000,0,2,.000,0,0,,0,3,3,0,1,0,2,0,0,-2.9,-4,vandeja01
Bronny James,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,jamesbr02
Dalton Knecht,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,knechda01
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,kolokch01
Team Totals,240,42,77,.545,8,32,.250,17,28,.607,7,32,39,23,7,2,20,21,109,,,-9999
