Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Kentavious Caldwell-Pope,30:43,2,8,.250,2,7,.286,9,9,1.000,0,4,4,3,0,0,3,3,15,9.3,-2,caldwke01
Ja Morant,28:41,13,20,.650,2,6,.333,7,8,.875,0,3,3,3,1,0,2,2,35,27.0,0,moranja01
Jaylen Wells,27:32,4,8,.500,4,8,.500,2,5,.400,0,3,3,4,1,0,2,3,14,10.3,+11,wellsja01
Jaren Jackson Jr.,26:37,7,14,.500,0,4,.000,4,4,1.000,2,6,8,1,0,6,5,6,18,11.7,+5,jacksja02
Jock Landale,25:21,3,7,.429,1,3,.333,3,4,.750,2,2,4,0,0,2,1,6,10,5.9,-4,landajo01
Santi Aldama,24:13,2,7,.286,0,3,.000,1,3,.333,1,5,6,2,1,2,2,5,5,2.1,+9,aldamsa01
Cedric Coward,22:13,5,5,1.000,0,0,,4,4,1.000,0,3,3,1,2,1,0,2,14,16.0,+24,cowarce01
Javon Small,19:19,0,2,.000,0,2,.000,0,0,,0,0,0,3,0,1,1,0,0,0.4,+6,smallja01
Olivier-Maxence Prosper,15:29,3,5,.600,0,1,.000,4,4,1.000,1,4,5,0,0,0,0,2,10,8.8,-10,prospol01
Cam Spencer,12:14,2,4,.500,2,3,.667,1,2,.500,0,0,0,2,0,0,0,0,7,6.0,-4,spencca01
John Konchar,7:38,0,0,,0,0,,0,0,,0,3,3,1,0,0,1,0,0,0.6,-5,konchjo01
PJ Hall,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,hallpj01
GG Jackson II,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,jacksgg01
Team Totals,240,41,80,.513,11,37,.297,35,43,.814,6,33,39,20,5,12,17,29,128,,,-9999
