Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Norman Powell,36:25,.634,.579,.421,.368,5.6,20.1,12.8,16.4,1.2,2.2,12.0,27.1,120,114,3.9,powelno01
Davion Mitchell,34:46,.533,.533,.400,.000,5.9,12.0,8.9,48.3,2.5,2.3,6.3,18.1,131,112,6.3,mitchda01
Bam Adebayo,34:12,.466,.346,.385,.538,9.0,27.5,18.1,7.3,0.0,0.0,19.9,23.1,90,117,-9.2,adebaba01
Andrew Wiggins,31:51,.597,.542,.417,.583,0.0,13.1,6.5,4.3,1.4,2.5,6.2,19.9,116,115,-2.0,wiggian01
Nikola Jović,23:07,.580,.500,.500,.667,0.0,13.5,6.7,0.0,1.9,0.0,27.9,18.3,82,115,-8.3,jovicni01
Jaime Jaquez Jr.,29:49,.825,.857,.143,.286,3.4,17.5,10.4,4.7,2.9,0.0,20.2,13.0,126,112,-0.3,jaqueja01
Simone Fontecchio,18:58,.722,.722,.333,.000,5.4,5.5,5.4,8.8,0.0,0.0,10.0,20.8,128,121,0.1,fontesi01
Kel'el Ware,13:48,.700,.700,.400,.000,7.4,22.7,15.0,0.0,3.2,5.8,16.7,17.1,113,106,1.3,wareke01
Dru Smith,13:14,.250,.250,.250,.000,0.0,7.9,3.9,44.9,3.3,0.0,20.0,14.9,87,113,-4.1,smithdr01
Pelle Larsson,3:50,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0,122,-26.1,larsspe01
Myron Gardner,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gardnmy01
Vladislav Goldin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,goldivl01
Keshad Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,johnske10
Terry Rozier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roziete01
Team Totals,240,.588,.549,.385,.297,21.3,80.4,50.5,59.1,8.2,6.7,15.6,100.0,110.5,114.1,,-9999
