Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Myles Turner,29:03,4,12,.333,2,8,.250,1,2,.500,1,7,8,5,0,3,1,3,11,10.0,+9,turnemy01
A.J. Green,27:12,4,6,.667,3,5,.600,0,0,,0,3,3,1,0,0,0,3,11,8.8,+9,greenaj01
Giannis Antetokounmpo,26:45,16,26,.615,1,3,.333,4,7,.571,2,12,14,5,0,0,2,4,37,28.9,+10,antetgi01
Gary Trent Jr.,24:21,6,12,.500,5,11,.455,0,0,,0,4,4,2,2,0,1,1,17,14.2,+3,trentga02
Kevin Porter Jr.,9:25,3,5,.600,2,3,.667,2,2,1.000,0,0,0,2,1,0,0,0,10,10.1,+15,porteke02
Ryan Rollins,29:29,2,9,.222,1,6,.167,4,4,1.000,2,2,4,3,2,0,2,3,9,6.4,-1,rolliry01
Kyle Kuzma,23:18,5,10,.500,0,2,.000,2,2,1.000,0,4,4,3,2,2,1,1,12,12.3,+7,kuzmaky01
Taurean Prince,21:57,4,5,.800,3,4,.750,0,0,,0,1,1,2,1,0,0,2,11,11.0,+12,princta02
Bobby Portis,17:15,1,6,.167,0,0,,0,0,,1,5,6,1,0,0,0,0,2,1.1,+6,portibo01
Amir Coffey,12:31,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,2,3.1,-5,coffeam01
Cole Anthony,11:57,4,5,.800,1,2,.500,0,0,,0,2,2,5,0,1,1,5,9,8.9,+8,anthoco01
Jericho Sims,1:42,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,-2,simsje01
Thanasis Antetokounmpo,1:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,antetth01
Gary Harris,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,harriga01
Andre Jackson Jr.,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,jacksan01
Team Totals,240,50,98,.510,18,44,.409,15,19,.789,6,40,46,31,8,6,8,22,133,,,-9999
