Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Herbert Jones,36:10,6,14,.429,3,5,.600,2,2,1.000,3,6,9,3,3,1,2,6,17,14.9,+11,joneshe01
Zion Williamson,33:28,10,21,.476,0,0,,7,12,.583,5,4,9,5,5,0,3,2,27,23.7,0,willizi01
Trey Murphy III,31:52,5,15,.333,1,6,.167,2,2,1.000,2,5,7,3,0,0,1,4,13,6.9,-3,murphtr02
Jordan Poole,31:13,6,14,.429,3,7,.429,2,2,1.000,0,0,0,2,0,0,0,3,17,9.8,+1,poolejo01
Yves Missi,23:09,2,4,.500,0,0,,1,2,.500,3,4,7,1,1,1,3,5,5,3.3,+14,missiyv01
Saddiq Bey,29:35,5,12,.417,1,5,.200,2,4,.500,3,3,6,3,1,0,0,2,13,11.1,-13,beysa01
Jeremiah Fears,18:19,7,10,.700,0,1,.000,3,3,1.000,0,0,0,2,0,0,2,2,17,11.4,-10,fearsje01
Jordan Hawkins,17:01,2,2,1.000,2,2,1.000,2,2,1.000,0,4,4,1,0,0,1,1,8,7.9,-7,hawkijo01
Derik Queen,14:30,1,4,.250,0,1,.000,1,2,.500,1,4,5,0,0,1,0,3,3,1.6,-11,queende01
Hunter Dickinson,4:43,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,2,2,2,-1.1,-12,dickihu01
Jose Alvarado,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,alvarjo01
Micah Peavy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,peavymi01
Jaden Springer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,sprinja01
Team Totals,240,45,98,.459,10,27,.370,22,31,.710,17,30,47,20,10,4,15,30,122,,,-9999
