Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Herbert Jones,36:10,.571,.536,.357,.143,8.0,22.1,13.9,10.8,3.7,3.1,11.8,17.7,122,114,1.2,joneshe01
Zion Williamson,33:28,.514,.476,.000,.571,14.3,15.9,15.0,23.4,6.7,0.0,10.2,33.2,113,111,6.8,willizi01
Trey Murphy III,31:52,.409,.367,.400,.133,6.0,20.9,12.3,12.1,0.0,0.0,5.9,20.1,103,125,-9.2,murphtr02
Jordan Poole,31:13,.571,.536,.500,.143,0.0,0.0,0.0,8.6,0.0,0.0,0.0,18.1,134,127,-4.2,poolejo01
Yves Missi,23:09,.512,.500,.000,.500,12.4,23.0,16.9,5.1,1.9,4.8,38.1,12.9,84,117,-11.1,missiyv01
Saddiq Bey,29:35,.472,.458,.417,.333,9.7,13.5,11.3,13.2,1.5,0.0,0.0,17.6,123,122,-2.1,beysa01
Jeremiah Fears,18:19,.751,.700,.100,.300,0.0,0.0,0.0,19.7,0.0,0.0,15.0,27.6,133,127,0.3,fearsje01
Jordan Hawkins,17:01,1.389,1.500,1.000,1.000,0.0,31.3,13.1,7.2,0.0,0.0,25.8,8.6,188,124,4.1,hawkijo01
Derik Queen,14:30,.307,.250,.250,.500,6.6,36.8,19.2,0.0,0.0,7.7,0.0,12.8,85,118,-12.3,queende01
Hunter Dickinson,4:43,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,23.7,50.0,32.1,46,112,-27.2,dickihu01
Jose Alvarado,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,alvarjo01
Micah Peavy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,peavymi01
Jaden Springer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,sprinja01
Team Totals,240,.546,.510,.276,.316,34.0,83.3,54.7,44.4,9.4,9.3,11.8,100.0,114.4,120.0,,-9999
