Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
OG Anunoby,37:30,9,17,.529,4,9,.444,2,4,.500,2,12,14,2,3,1,4,0,24,21.0,+10,anunoog01
Jalen Brunson,34:23,5,18,.278,1,9,.111,12,13,.923,0,4,4,5,0,0,2,3,23,13.5,+6,brunsja01
Mikal Bridges,33:12,6,11,.545,1,3,.333,3,3,1.000,1,4,5,6,3,2,0,3,16,20.0,+1,bridgmi01
Karl-Anthony Towns,31:00,5,12,.417,1,4,.250,8,9,.889,1,10,11,2,0,0,3,4,19,12.7,+2,townska01
Ariel Hukporti,17:45,1,2,.500,0,0,,0,0,,1,4,5,2,0,1,1,3,2,2.8,-4,hukpoar01
Miles McBride,25:52,4,7,.571,4,6,.667,3,4,.750,1,1,2,1,1,0,2,4,15,10.4,+17,mcbrimi01
Landry Shamet,13:49,2,4,.500,2,3,.667,3,3,1.000,0,2,2,1,1,0,1,1,9,7.9,-5,shamela01
Tyler Kolek,13:37,3,6,.500,1,3,.333,0,0,,0,1,1,2,0,0,0,2,7,4.9,+2,kolekty01
Jordan Clarkson,13:09,2,7,.286,0,2,.000,0,0,,1,0,1,1,0,0,0,2,4,0.5,+4,clarkjo01
Guerschon Yabusele,12:02,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,+4,yabusgu01
Trey Jemison,7:41,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,1.0,+3,jemistr01
Pacome Dadiet,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,dadiepa01
Mohamed Diawara,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,diawamo01
Team Totals,240,37,86,.430,14,40,.350,31,36,.861,9,39,48,22,8,4,14,23,119,,,-9999
