Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
OG Anunoby,37:30,.640,.647,.529,.235,6.9,35.7,22.4,10.0,3.7,3.2,17.6,25.1,108,101,6.9,anunoog01
Jalen Brunson,34:23,.485,.306,.500,.722,0.0,13.0,7.0,23.3,0.0,0.0,7.8,31.0,109,114,-5.8,brunsja01
Mikal Bridges,33:12,.649,.591,.273,.273,3.9,13.4,9.0,30.6,4.2,7.2,0.0,15.4,153,98,12.1,bridgmi01
Karl-Anthony Towns,31:00,.595,.458,.333,.750,4.2,36.0,21.3,10.6,0.0,0.0,15.8,25.3,112,111,-2.7,townska01
Ariel Hukporti,17:45,.500,.500,.000,.000,7.3,25.2,16.9,15.8,0.0,6.8,33.3,7.0,105,107,-2.2,hukpoar01
Miles McBride,25:52,.856,.857,.857,.571,5.0,4.3,4.6,6.3,1.8,0.0,18.6,17.2,136,110,3.5,mcbrimi01
Landry Shamet,13:49,.846,.750,.750,.750,0.0,16.2,8.7,11.6,3.4,0.0,15.8,19.0,146,106,9.5,shamela01
Tyler Kolek,13:37,.583,.583,.500,.000,0.0,8.2,4.4,26.7,0.0,0.0,0.0,18.3,131,114,-1.4,kolekty01
Jordan Clarkson,13:09,.286,.286,.286,.000,9.9,0.0,4.6,12.3,0.0,0.0,0.0,22.1,80,115,-14.3,clarkjo01
Guerschon Yabusele,12:02,.000,.000,.500,.000,10.8,0.0,5.0,0.0,0.0,0.0,0.0,6.9,41,115,-13.0,yabusgu01
Trey Jemison,7:41,,,,,16.9,14.5,15.6,0.0,0.0,0.0,,0.0,233,114,-4.2,jemistr01
Pacome Dadiet,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,dadiepa01
Mohamed Diawara,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,diawamo01
Team Totals,240,.584,.512,.465,.419,24.3,90.7,60.0,59.5,7.8,10.0,12.1,100.0,115.9,108.2,,-9999
