Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Shai Gilgeous-Alexander,45:21,.648,.516,.226,.839,0.0,16.5,8.9,26.9,2.1,2.1,4.5,43.2,133,107,12.2,gilgesh01
Luguentz Dort,43:26,.509,.417,.667,.333,10.1,8.6,9.3,6.6,1.1,0.0,30.4,10.0,100,112,-4.4,dortlu01
Chet Holmgren,38:57,.483,.333,.500,.667,8.4,21.6,15.5,8.0,2.4,0.0,16.2,21.0,98,106,-5.3,holmgch01
Isaiah Hartenstein,36:54,.470,.500,.000,.750,0.0,35.5,19.1,7.9,0.0,0.0,27.3,8.8,78,108,-6.5,harteis01
Aaron Wiggins,35:45,.730,.679,.643,.286,0.0,23.6,12.7,0.0,0.0,2.6,6.0,20.7,136,109,3.7,wiggiaa01
Ajay Mitchell,38:07,.577,.474,.158,.421,2.9,4.9,4.0,20.8,1.2,0.0,4.3,27.2,123,113,0.6,mitchaj01
Ousmane Dieng,15:19,.000,.000,1.000,.000,0.0,6.1,3.3,0.0,0.0,0.0,0.0,8.6,0,115,-15.4,diengou01
Jaylin Williams,14:31,.833,.833,.667,.000,0.0,12.9,6.9,22.8,0.0,0.0,40.0,15.2,105,113,-3.9,willija07
Brooks Barnhizer,14:15,.500,.500,.000,.000,7.7,13.1,10.6,0.0,0.0,0.0,0.0,6.2,125,113,-7.3,barnhbr01
Chris Youngblood,6:19,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,300,116,3.5,youngch01
Branden Carlson,1:06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,117,-6.3,carlsbr01
Team Totals,290,.600,.505,.368,.537,17.0,82.3,52.2,39.5,4.9,3.2,10.7,100.0,115.7,110.8,,-9999
