Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Franz Wagner,35:30,9,17,.529,2,5,.400,4,6,.667,0,4,4,6,2,0,2,5,24,18.3,+5,wagnefr01
Paolo Banchero,35:23,7,17,.412,1,3,.333,9,12,.750,0,11,11,1,1,1,2,1,24,17.0,-2,banchpa01
Desmond Bane,32:31,7,18,.389,3,6,.500,6,6,1.000,0,4,4,3,0,2,4,4,23,12.3,-3,banede01
Wendell Carter Jr.,29:30,2,5,.400,0,1,.000,5,5,1.000,5,3,8,1,1,1,2,4,9,9.5,-7,cartewe01
Jalen Suggs,16:30,6,7,.857,2,3,.667,0,0,,0,4,4,2,2,0,2,3,14,12.9,+15,suggsja01
Tyus Jones,23:30,0,4,.000,0,3,.000,0,0,,1,1,2,3,0,1,2,0,0,-1.0,-17,jonesty01
Anthony Black,23:19,3,9,.333,1,2,.500,0,0,,0,3,3,3,0,1,0,2,7,4.8,+13,blackan01
Goga Bitadze,18:30,3,4,.750,0,1,.000,2,2,1.000,3,5,8,4,1,1,0,1,8,14.1,+11,bitadgo01
Tristan Da Silva,18:15,5,8,.625,3,5,.600,3,4,.750,0,1,1,0,0,0,1,0,16,11.3,+11,dasiltr01
Jonathan Isaac,7:02,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,0.6,-6,isaacjo01
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,howarje01
Noah Penda,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,pendano01
Jase Richardson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,richaja02
Team Totals,240,42,90,.467,12,30,.400,29,35,.829,9,37,46,23,8,7,15,20,125,,,-9999
