Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
VJ Edgecombe,42:12,13,26,.500,5,13,.385,3,6,.500,1,6,7,3,1,0,2,1,34,23.0,-2,edgecvj01
Tyrese Maxey,41:24,13,24,.542,7,9,.778,7,8,.875,0,2,2,6,2,1,1,5,40,32.5,+3,maxeyty01
Dominick Barlow,34:24,4,8,.500,0,3,.000,5,6,.833,5,3,8,5,0,1,2,3,13,14.0,+1,barlodo01
Kelly Oubre Jr.,33:33,2,6,.333,2,6,.333,4,4,1.000,0,4,4,1,0,1,2,1,10,6.8,-8,oubreke01
Joel Embiid,20:18,1,9,.111,0,4,.000,2,2,1.000,1,5,6,2,0,1,0,2,4,1.6,-16,embiijo01
Quentin Grimes,31:38,3,8,.375,2,5,.400,2,4,.500,0,5,5,5,0,0,5,3,10,3.6,+18,grimequ01
Jabari Walker,18:57,3,4,.750,0,1,.000,0,0,,2,2,4,0,0,0,0,3,6,5.2,+3,walkeja01
Adem Bona,14:45,0,0,,0,0,,0,0,,1,2,3,1,0,0,2,3,0,-1.2,+4,bonaad01
Andre Drummond,2:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,+2,drumman01
Justin Edwards,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,edwarju01
Johni Broome,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,broomjo01
Eric Gordon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gordoer01
Kyle Lowry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,lowryky01
Team Totals,240,39,85,.459,16,41,.390,23,30,.767,10,30,40,23,3,4,14,23,117,,,-9999
