Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
VJ Edgecombe,42:12,.594,.596,.500,.231,2.7,17.1,9.7,14.1,1.1,0.0,6.5,31.1,116,117,3.1,edgecvj01
Tyrese Maxey,41:24,.727,.688,.375,.333,0.0,5.8,2.8,29.1,2.3,2.4,3.5,29.5,149,116,14.9,maxeyty01
Dominick Barlow,34:24,.611,.500,.375,.750,16.6,10.5,13.6,20.9,0.0,2.9,15.8,15.7,136,120,2.0,barlodo01
Kelly Oubre Jr.,33:33,.644,.500,1.000,.667,0.0,14.3,7.0,4.0,0.0,3.0,20.5,12.4,109,119,-3.4,oubreke01
Joel Embiid,20:18,.202,.111,.444,.222,5.6,29.6,17.3,12.9,0.0,4.9,0.0,20.8,68,114,-11.9,embiijo01
Quentin Grimes,31:38,.512,.500,.625,.500,0.0,19.0,9.3,22.0,0.0,0.0,33.9,20.0,82,119,-8.3,grimequ01
Jabari Walker,18:57,.750,.750,.250,.000,12.1,12.7,12.4,0.0,0.0,0.0,0.0,9.0,163,121,-2.0,walkeja01
Adem Bona,14:45,,,,,7.7,16.3,11.9,8.3,0.0,0.0,100.0,5.8,54,120,-11.0,bonaad01
Andre Drummond,2:43,,,,,0.0,44.2,21.5,0.0,0.0,0.0,,0.0,0,112,-16.0,drumman01
Justin Edwards,0:06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,124,-6.9,edwarju01
Johni Broome,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,broomjo01
Eric Gordon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gordoer01
Kyle Lowry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,lowryky01
Team Totals,240,.596,.553,.482,.353,23.8,75.0,48.8,59.0,3.0,8.3,12.5,100.0,118.0,117.0,,-9999
