Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Edwards,39:15,14,28,.500,5,10,.500,8,8,1.000,1,6,7,1,0,1,4,4,41,25.3,+9,edwaran01
Julius Randle,37:20,7,13,.538,3,5,.600,2,4,.500,1,6,7,6,2,1,0,3,19,20.1,+6,randlju01
Rudy Gobert,31:51,3,4,.750,0,0,,4,6,.667,3,3,6,0,0,1,0,6,10,8.9,0,goberru01
Jaden McDaniels,28:59,6,12,.500,3,4,.750,3,4,.750,0,5,5,2,1,3,3,4,18,13.0,+3,mcdanja02
Donte DiVincenzo,20:22,3,6,.500,1,3,.333,0,0,,0,4,4,2,2,2,6,1,7,3.6,-4,divindo01
Terrence Shannon Jr.,25:28,4,7,.571,2,2,1.000,0,0,,1,4,5,5,1,0,2,3,10,9.9,+5,shannte01
Naz Reid,19:51,2,4,.500,0,1,.000,2,2,1.000,1,2,3,1,1,2,1,2,6,6.6,+1,reidna01
Jaylen Clark,16:28,1,5,.200,0,2,.000,0,0,,2,2,4,3,2,0,1,2,2,3.2,-2,clarkja02
Mike Conley,12:43,1,5,.200,1,2,.500,0,0,,1,1,2,0,1,0,1,2,3,0.1,-3,conlemi01
Bones Hyland,7:43,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,1,2,2,0.5,+5,hylanbo01
Joan Beringer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,berinjo01
Rob Dillingham,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,dilliro01
Joe Ingles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,inglejo01
Johnny Juzang,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,juzanjo01
Leonard Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,millele01
Team Totals,240,42,86,.488,15,30,.500,19,24,.792,10,35,45,21,10,10,19,29,118,,,-9999
