Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Anthony Edwards,39:15,.650,.589,.357,.286,2.9,17.5,10.2,4.9,0.0,2.5,11.3,37.6,119,112,1.4,edwaran01
Julius Randle,37:20,.644,.654,.385,.308,3.1,18.4,10.7,23.4,2.4,2.7,0.0,16.4,148,106,6.5,randlju01
Rudy Gobert,31:51,.753,.750,.000,1.500,10.8,10.8,10.8,0.0,0.0,3.1,0.0,8.7,168,113,-4.2,goberru01
Jaden McDaniels,28:59,.654,.625,.333,.333,0.0,19.7,9.9,10.3,1.5,10.4,17.9,24.0,111,103,2.2,mcdanja02
Donte DiVincenzo,20:22,.583,.583,.500,.000,0.0,22.4,11.2,13.5,4.4,9.8,50.0,24.5,62,97,-4.8,divindo01
Terrence Shannon Jr.,25:28,.714,.714,.286,.000,4.5,18.0,11.2,27.3,1.8,0.0,22.2,14.7,131,110,3.0,shannte01
Naz Reid,19:51,.615,.500,.250,.500,5.8,11.5,8.6,6.5,2.3,10.1,17.0,12.3,119,103,-0.3,reidna01
Jaylen Clark,16:28,.200,.200,.400,.000,13.9,13.9,13.9,22.4,5.5,0.0,16.7,15.1,83,102,-4.0,clarkja02
Mike Conley,12:43,.300,.300,.400,.000,9.0,9.0,9.0,0.0,3.5,0.0,16.7,19.6,64,107,-12.4,conlemi01
Bones Hyland,7:43,.500,.500,.500,.000,0.0,29.6,14.8,17.4,0.0,0.0,33.3,16.1,81,111,-13.7,hylanbo01
Joan Beringer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,berinjo01
Rob Dillingham,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,dilliro01
Joe Ingles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,inglejo01
Johnny Juzang,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,juzanjo01
Leonard Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,millele01
Team Totals,240,.611,.576,.349,.279,23.8,83.3,53.6,50.0,9.4,20.8,16.4,100.0,110.4,106.7,,-9999
