Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Devin Booker,36:22,10,19,.526,1,3,.333,10,15,.667,2,3,5,3,1,0,6,5,31,17.1,+1,bookede01
Grayson Allen,35:35,6,12,.500,3,7,.429,3,3,1.000,1,4,5,7,1,0,4,3,18,14.6,+1,allengr01
Dillon Brooks,33:54,9,24,.375,1,8,.125,3,3,1.000,1,3,4,3,2,1,2,5,22,11.2,+2,brookdi01
Ryan Dunn,24:43,4,9,.444,1,4,.250,0,2,.000,5,5,10,3,1,3,0,2,9,12.9,-7,dunnry01
Oso Ighodaro,19:23,3,5,.600,0,0,,1,1,1.000,1,3,4,1,0,0,1,3,7,4.8,-2,ighodos01
Royce O'Neale,29:03,4,8,.500,3,7,.429,1,2,.500,2,3,5,2,1,0,1,2,12,10.5,+3,onealro01
Mark Williams,23:39,3,5,.600,0,0,,0,0,,2,9,11,0,0,2,1,2,6,7.4,+15,willima07
Collin Gillespie,22:20,3,9,.333,1,4,.250,0,0,,2,0,2,4,1,1,0,2,7,7.0,+9,gilleco01
Nigel Hayes-Davis,10:19,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+4,hayesni01
Nick Richards,4:42,3,3,1.000,0,0,,2,2,1.000,2,1,3,0,0,0,0,1,8,8.4,-6,richani01
Koby Brea,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,breako01
Rasheer Fleming,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,flemira01
Jordan Goodwin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,goodwjo01
Isaiah Livers,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,liveris01
Khaman Maluach,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,maluakh01
Team Totals,240,45,95,.474,10,34,.294,20,28,.714,18,33,51,23,7,7,16,25,120,,,-9999
