Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Devin Booker,36:22,.605,.553,.158,.789,5.7,9.4,7.5,12.5,1.3,0.0,19.0,33.8,110,115,-4.0,bookede01
Grayson Allen,35:35,.676,.625,.583,.250,2.9,12.8,7.7,25.6,1.3,0.0,23.1,18.9,124,115,0.2,allengr01
Dillon Brooks,33:54,.434,.396,.333,.125,3.1,10.1,6.4,13.2,2.7,2.0,7.3,31.4,102,110,-7.0,brookdi01
Ryan Dunn,24:43,.455,.500,.444,.222,21.1,23.1,22.1,15.6,1.9,8.3,0.0,15.6,130,104,5.6,dunnry01
Oso Ighodaro,19:23,.643,.600,.000,.200,5.4,17.7,11.3,6.6,0.0,0.0,15.5,12.9,124,116,-5.9,ighodos01
Royce O'Neale,29:03,.676,.688,.875,.250,7.2,11.8,9.4,8.6,1.6,0.0,10.1,13.2,140,114,1.2,onealro01
Mark Williams,23:39,.600,.600,.000,.000,8.8,43.5,25.4,0.0,0.0,5.8,16.7,9.9,114,107,-3.7,willima07
Collin Gillespie,22:20,.389,.389,.444,.000,9.3,0.0,4.9,22.3,2.1,3.1,0.0,15.7,122,113,-0.8,gilleco01
Nigel Hayes-Davis,10:19,.000,.000,1.000,.000,0.0,22.2,10.6,0.0,0.0,0.0,0.0,3.8,0,116,-10.9,hayesni01
Nick Richards,4:42,1.031,1.000,.000,.667,44.4,24.3,34.8,0.0,0.0,0.0,0.0,32.1,217,114,29.5,richani01
Koby Brea,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,breako01
Rasheer Fleming,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,flemira01
Jordan Goodwin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,goodwjo01
Isaiah Livers,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,liveris01
Khaman Maluach,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,maluakh01
Team Totals,240,.559,.526,.358,.295,39.1,78.6,58.0,51.1,6.8,10.0,13.0,100.0,116.1,112.2,,-9999
