Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Toumani Camara,34:44,3,9,.333,2,5,.400,2,2,1.000,4,5,9,5,0,0,0,1,10,12.3,-1,camarto01
Jrue Holiday,33:04,5,15,.333,1,7,.143,3,4,.750,0,6,6,7,3,0,4,3,14,9.6,-2,holidjr01
Deni Avdija,32:59,6,16,.375,0,6,.000,8,10,.800,0,7,7,1,0,1,2,2,20,11.1,-2,avdijde01
Donovan Clingan,30:01,3,5,.600,2,4,.500,0,0,,2,4,6,1,2,1,1,3,8,9.5,-2,clingdo01
Shaedon Sharpe,28:52,5,20,.250,3,9,.333,2,2,1.000,0,2,2,4,1,0,4,1,15,3.0,0,sharpsh01
Jerami Grant,27:46,10,14,.714,4,7,.571,5,6,.833,0,3,3,1,0,1,1,3,29,22.9,-6,grantje01
Kris Murray,18:33,2,3,.667,1,2,.500,2,2,1.000,0,0,0,0,0,0,1,1,7,4.3,+2,murrakr01
Blake Wesley,14:56,2,5,.400,0,1,.000,3,5,.600,0,3,3,4,2,0,2,1,7,6.8,-2,weslebl01
Matisse Thybulle,13:49,0,2,.000,0,1,.000,2,2,1.000,0,2,2,2,2,0,0,1,2,4.2,-2,thybuma01
Yang Hansen,5:16,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,1,2,1.6,-5,yangha01
Scoot Henderson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,hendesc01
Damian Lillard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,lillada01
Duop Reath,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,reathdu01
Rayan Rupert,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,ruperra01
Robert Williams,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,williro04
Team Totals,240,36,90,.400,13,42,.310,29,35,.829,7,32,39,25,10,3,16,17,114,,,-9999
