Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Toumani Camara,34:44,.506,.444,.556,.222,13.2,16.5,14.8,21.7,0.0,0.0,0.0,11.2,133,116,1.3,camarto01
Jrue Holiday,33:04,.418,.367,.467,.267,0.0,20.7,10.4,35.4,4.1,0.0,19.3,24.8,82,105,-4.4,holidjr01
Deni Avdija,32:59,.490,.375,.375,.625,0.0,24.3,12.1,5.3,0.0,2.6,8.9,26.9,94,113,-6.4,avdijde01
Donovan Clingan,30:01,.800,.800,.800,.000,7.6,15.2,11.4,5.1,3.0,2.9,16.7,7.9,133,107,0.1,clingdo01
Shaedon Sharpe,28:52,.359,.325,.450,.100,0.0,7.9,4.0,24.0,1.6,0.0,16.1,34.1,68,115,-12.3,sharpsh01
Jerami Grant,27:46,.871,.857,.500,.429,0.0,12.3,6.2,9.2,0.0,3.1,5.7,25.1,154,115,13.6,grantje01
Kris Murray,18:33,.902,.833,.667,.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,10.4,132,120,-3.5,murrakr01
Blake Wesley,14:56,.486,.400,.200,1.000,0.0,23.0,11.5,43.5,6.0,0.0,21.7,24.4,94,100,2.3,weslebl01
Matisse Thybulle,13:49,.347,.000,.500,1.000,0.0,16.5,8.3,19.3,6.5,0.0,0.0,8.2,105,101,1.1,thybuma01
Yang Hansen,5:16,.532,.000,.000,2.000,21.7,0.0,10.8,0.0,0.0,0.0,0.0,14.1,139,120,-7.7,yangha01
Scoot Henderson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,hendesc01
Damian Lillard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,lillada01
Duop Reath,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,reathdu01
Rayan Rupert,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,ruperra01
Robert Williams,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,williro04
Team Totals,240,.541,.472,.467,.389,16.7,76.2,46.4,69.4,9.4,5.4,13.2,100.0,106.7,110.4,,-9999
