Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
DeMar DeRozan,37:25,12,17,.706,1,2,.500,4,9,.444,2,4,6,9,2,1,1,2,29,29.7,+9,derozde01
Zach LaVine,34:33,13,24,.542,2,10,.200,2,3,.667,0,2,2,1,0,0,2,3,30,16.1,-6,lavinza01
Dennis Schröder,29:44,6,13,.462,2,4,.500,0,0,,0,1,1,7,2,1,4,3,14,10.0,-8,schrode01
Nique Clifford,23:41,1,3,.333,0,0,,0,0,,3,5,8,2,2,1,1,4,2,5.4,+3,cliffni01
Drew Eubanks,21:54,1,4,.250,0,0,,2,4,.500,1,3,4,0,2,4,2,1,4,4.8,-7,eubandr01
Malik Monk,27:23,7,13,.538,3,4,.750,2,2,1.000,0,1,1,2,0,0,0,2,19,13.6,-9,monkma01
Russell Westbrook,18:48,2,8,.250,0,2,.000,2,3,.667,1,5,6,1,0,1,2,0,6,2.4,+2,westbru01
Dylan Cardwell,14:37,1,4,.250,0,0,,1,2,.500,1,0,1,0,1,2,0,5,3,1.3,+6,cardwdy01
Keon Ellis,12:58,4,5,.800,1,2,.500,0,0,,0,1,1,0,1,0,0,1,9,8.0,-2,elliske01
Maxime Raynaud,11:29,0,1,.000,0,0,,0,0,,0,4,4,2,0,0,1,1,0,0.5,-3,raynama01
Dario Šarić,7:28,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,0,0,0,-0.1,-5,saricda01
Devin Carter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,cartede02
Doug McDermott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mcderdo01
Daeqwon Plowden,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,plowdda01
Isaiah Stevens,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,steveis01
Team Totals,240,47,94,.500,9,24,.375,13,23,.565,9,28,37,24,10,10,13,22,116,,,-9999
