Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
DeMar DeRozan,37:25,.692,.735,.118,.529,6.1,11.2,8.7,36.5,2.5,2.1,4.6,24.1,145,117,11.7,derozde01
Zach LaVine,34:33,.592,.583,.417,.125,0.0,6.0,3.2,4.8,0.0,0.0,7.3,32.4,110,125,-4.9,lavinza01
Dennis Schröder,29:44,.538,.538,.308,.000,0.0,3.5,1.8,30.3,3.1,2.6,23.5,23.4,97,118,-3.2,schrode01
Nique Clifford,23:41,.333,.333,.000,.000,14.5,22.0,18.4,9.0,3.9,3.3,25.0,6.9,103,108,-3.2,cliffni01
Drew Eubanks,21:54,.347,.250,.000,1.000,5.2,14.3,10.0,0.0,4.2,14.4,25.8,14.5,62,106,-5.9,eubandr01
Malik Monk,27:23,.684,.654,.308,.154,0.0,3.8,2.0,10.1,0.0,0.0,0.0,20.8,142,126,0.5,monkma01
Russell Westbrook,18:48,.322,.250,.250,.375,6.1,27.8,17.4,6.1,0.0,4.2,17.7,24.7,67,115,-14.7,westbru01
Dylan Cardwell,14:37,.307,.250,.000,.500,7.8,0.0,3.7,0.0,3.2,10.8,0.0,13.7,80,115,-12.5,cardwdy01
Keon Ellis,12:58,.900,.900,.400,.000,0.0,8.0,4.2,0.0,3.6,0.0,0.0,15.8,173,116,6.8,elliske01
Maxime Raynaud,11:29,.000,.000,.000,.000,0.0,36.3,19.0,17.8,0.0,0.0,50.0,7.1,50,113,-8.3,raynama01
Dario Šarić,7:28,.000,.000,.000,.000,15.3,28.0,21.9,0.0,0.0,0.0,0.0,11.0,40,116,-17.4,saricda01
Devin Carter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,cartede02
Doug McDermott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mcderdo01
Daeqwon Plowden,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,plowdda01
Isaiah Stevens,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,steveis01
Team Totals,240,.557,.548,.255,.245,21.4,60.9,42.0,51.1,9.7,16.4,11.1,100.0,112.2,116.1,,-9999
