Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Devin Vassell,30:56,6,14,.429,1,4,.250,0,1,.000,1,2,3,4,2,0,0,0,13,11.3,+25,vassede01
Harrison Barnes,30:18,3,7,.429,1,3,.333,0,0,,0,2,2,1,0,0,2,2,7,1.8,+27,barneha02
Victor Wembanyama,29:41,15,21,.714,1,2,.500,9,11,.818,1,14,15,1,1,3,0,4,40,37.6,+31,wembavi01
Stephon Castle,28:32,8,12,.667,1,3,.333,5,10,.500,2,5,7,6,2,0,5,2,22,18.1,+24,castlst01
Julian Champagnie,25:24,1,3,.333,1,2,.500,2,3,.667,1,3,4,2,1,0,0,1,5,6.5,+15,champju02
Keldon Johnson,24:39,5,6,.833,1,1,1.000,0,0,,2,3,5,2,1,0,0,2,11,12.7,+10,johnske04
Dylan Harper,22:41,7,14,.500,1,2,.500,0,2,.000,1,3,4,2,0,0,4,5,15,4.2,+5,harpedy01
Luke Kornet,15:47,1,3,.333,0,0,,0,0,,1,3,4,3,0,2,1,3,2,3.2,+5,kornelu01
Carter Bryant,9:16,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.8,+5,bryanca01
Jordan McLaughlin,8:08,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,0,1,2,2.3,+3,mclaujo01
Bismack Biyombo,4:56,0,0,,0,0,,0,0,,0,1,1,0,2,0,2,2,0,-0.5,+3,biyombi01
David Jones García,4:04,2,2,1.000,0,0,,1,1,1.000,1,0,1,2,0,0,0,2,5,5.7,+4,jonesda06
Harrison Ingram,4:04,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,3.4,+4,ingraha01
Riley Minix,1:34,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+4,minixri01
Team Totals,240,50,87,.575,8,20,.400,17,28,.607,11,39,50,24,10,5,15,24,125,,,-9999
