Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Scottie Barnes,31:53,9,14,.643,0,0,,4,4,1.000,0,6,6,9,1,2,1,4,22,23.7,+9,barnesc01
RJ Barrett,29:58,9,12,.750,2,4,.500,5,5,1.000,2,6,8,5,2,0,4,5,25,22.9,0,barrerj01
Immanuel Quickley,28:42,5,12,.417,0,7,.000,3,4,.750,0,4,4,8,1,0,3,3,13,9.8,+9,quickim01
Brandon Ingram,26:52,7,16,.438,0,2,.000,2,3,.667,2,7,9,3,2,0,5,3,16,8.6,+14,ingrabr01
Jakob Poeltl,22:22,7,8,.875,0,0,,0,1,.000,3,3,6,2,0,1,2,6,14,11.5,-3,poeltja01
Gradey Dick,23:58,6,10,.600,2,4,.500,7,8,.875,1,4,5,0,1,0,0,1,21,18.5,+18,dickgr01
Ochai Agbaji,19:57,2,5,.400,0,3,.000,0,0,,1,2,3,1,2,0,0,3,4,4.1,+15,agbajoc01
Jamal Shead,19:18,3,5,.600,1,2,.500,3,4,.750,1,1,2,5,1,0,2,1,10,10.4,+11,sheadja01
Sandro Mamukelashvili,17:09,3,6,.500,1,1,1.000,0,0,,0,4,4,3,0,1,2,4,7,4.4,+21,mamuksa01
Jonathan Mogbo,10:46,2,4,.500,0,0,,0,0,,1,3,4,0,0,0,0,1,4,3.2,+2,mogbojo01
Jamison Battle,9:05,1,3,.333,0,2,.000,0,0,,1,2,3,0,0,0,0,0,2,1.6,+4,battlja01
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,templga01
Team Totals,240,54,95,.568,6,25,.240,24,29,.828,12,42,54,36,10,4,19,31,138,,,-9999
